# a_x,a_y,a_z,omega_x,omega_y,omega_z
-0.5384,1.6942,9.7833,0.0862,0.4212,-0.2734
-0.6676,1.7166,9.6638,0.0697,0.3897,-0.2740
-0.7830,1.7581,9.5859,0.0727,0.3937,-0.2837
-0.9250,1.5710,9.6889,0.0630,0.3998,-0.2655
-0.8564,1.7337,9.8608,0.0573,0.3818,-0.2898
-0.9852,1.5857,9.6433,0.0640,0.4035,-0.3062
-0.9495,1.7988,9.6212,0.0575,0.4092,-0.3248
-1.1954,1.4733,9.8975,0.0313,0.3947,-0.3399
-1.0975,1.5318,9.8441,0.0317,0.3838,-0.3273
-1.1457,1.4673,9.7418,0.0296,0.3959,-0.3299
-1.2259,1.5194,9.9091,0.0313,0.3754,-0.3506
-1.3604,1.5778,9.6102,0.0355,0.3764,-0.3578
-1.3148,1.4191,9.8047,0.0177,0.3667,-0.3581
-1.2350,1.4465,9.8362,0.0098,0.3628,-0.3570
-1.3967,1.2319,9.8496,0.0080,0.3500,-0.3865
-1.4686,1.3651,9.6570,-0.0143,0.3717,-0.3755
-1.5439,1.3902,9.8322,-0.0107,0.3596,-0.3776
-1.4861,1.3478,9.7186,-0.0343,0.3628,-0.3890
-1.5640,1.3379,9.8498,-0.0332,0.3583,-0.3896
-1.5662,1.3094,9.8751,-0.0364,0.3484,-0.3945
-1.5729,1.1652,9.7274,-0.0435,0.3558,-0.4258
-1.5979,1.2395,9.8876,-0.0366,0.3326,-0.4140
-1.5614,1.1769,9.7429,-0.0514,0.3360,-0.4334
-1.7885,1.2526,9.7345,-0.0624,0.3552,-0.4210
-1.6516,1.1192,9.9102,-0.0547,0.3506,-0.4277
-1.8246,1.1459,9.7888,-0.0690,0.3342,-0.4275
-1.9107,1.2098,9.6229,-0.0784,0.3377,-0.4486
-1.7865,1.1052,9.6401,-0.0945,0.3222,-0.4408
-1.8292,0.9633,9.5968,-0.1078,0.3492,-0.4338
-1.7985,0.9807,9.8999,-0.0911,0.3418,-0.4745
-1.8748,0.9063,9.7241,-0.0993,0.3121,-0.4599
-1.9305,0.8382,9.7382,-0.1098,0.3432,-0.4645
-2.0360,0.8500,9.8521,-0.1190,0.3176,-0.4618
-1.9778,0.7813,9.7880,-0.1142,0.3138,-0.4928
-1.9471,0.8448,9.8196,-0.1533,0.3359,-0.4570
-1.9538,0.7560,9.5348,-0.1544,0.3149,-0.4956
-2.0293,0.6401,9.7605,-0.1337,0.3195,-0.4941
-1.9521,0.7240,9.8358,-0.1438,0.3222,-0.4833
-1.9992,0.6816,9.8524,-0.1574,0.3176,-0.4965
-2.0220,0.7253,9.8624,-0.1729,0.3057,-0.5024
-1.9932,0.7153,9.9017,-0.1732,0.3024,-0.5081
-2.0847,0.5071,9.8207,-0.1716,0.2961,-0.5130
-1.8957,0.5497,9.9338,-0.1764,0.2861,-0.4947
-2.2361,0.6320,9.8267,-0.1805,0.3088,-0.4934
-1.9442,0.4429,9.7001,-0.2004,0.3187,-0.5154
-2.0460,0.5194,9.9246,-0.1982,0.3067,-0.5022
-1.9876,0.3612,9.7326,-0.2069,0.2780,-0.5013
-2.1515,0.1887,9.8149,-0.2257,0.2877,-0.5173
-1.9947,0.4107,9.9948,-0.2288,0.2838,-0.5088
-1.7658,0.1571,9.8226,-0.2421,0.2770,-0.5104
-1.8962,0.3112,9.8170,-0.2282,0.2961,-0.5283
-1.9317,0.1736,9.6680,-0.2300,0.2663,-0.5232
-1.8146,0.0305,9.8620,-0.2492,0.2783,-0.5297
-1.7257,0.0347,9.7282,-0.2488,0.2478,-0.5220
-1.7429,0.0314,9.7211,-0.2452,0.2583,-0.5030
-1.7111,0.1165,9.8188,-0.2439,0.2550,-0.5259
-1.8175,0.0256,9.6962,-0.2588,0.2515,-0.5283
-1.6785,-0.0492,9.7880,-0.2812,0.2704,-0.5231
-1.5908,-0.1884,9.8823,-0.2611,0.2565,-0.5343
-1.7590,0.0500,9.6347,-0.2819,0.2509,-0.5087
-1.6066,-0.1679,9.8804,-0.3074,0.2455,-0.5255
-1.4370,-0.3863,9.8362,-0.2936,0.2568,-0.5286
-1.4979,-0.3348,9.8153,-0.3034,0.2534,-0.5249
-1.5497,-0.2974,9.8001,-0.3045,0.2284,-0.5271
-1.4367,-0.2599,9.8161,-0.3083,0.2368,-0.5155
-1.3418,-0.5525,9.8199,-0.2931,0.2418,-0.5298
-1.2803,-0.3651,9.7601,-0.3243,0.2199,-0.5164
-1.3641,-0.5518,9.6988,-0.3225,0.2185,-0.5065
-1.3775,-0.4266,9.5713,-0.3334,0.2266,-0.5128
-1.0345,-0.4418,9.7943,-0.3251,0.2002,-0.5174
-1.1915,-0.5515,9.9140,-0.3205,0.2102,-0.5034
-1.0349,-0.5048,9.7414,-0.3585,0.2210,-0.4933
-0.9305,-0.5358,10.0041,-0.3555,0.2114,-0.5088
-0.9782,-0.5622,9.6632,-0.3618,0.2003,-0.5041
-0.8107,-0.7307,9.8617,-0.3538,0.2240,-0.4856
-0.9591,-0.6849,9.6937,-0.3552,0.2091,-0.4792
-0.7576,-0.6807,9.6727,-0.3618,0.2052,-0.4843
-0.6013,-0.7803,9.4784,-0.3877,0.2028,-0.4889
-0.6359,-0.8235,9.5643,-0.3658,0.1989,-0.4583
-0.4674,-0.8498,9.8347,-0.3902,0.1906,-0.4826
-0.6736,-0.8799,9.9426,-0.3977,0.1707,-0.4748
-0.5727,-0.8286,9.7827,-0.3867,0.1854,-0.4771
-0.3356,-0.9542,9.7588,-0.3891,0.1897,-0.4762
-0.2536,-0.9758,9.8511,-0.3958,0.1630,-0.4727
-0.2300,-0.9823,9.9311,-0.3904,0.1766,-0.4520
-0.2220,-0.9696,9.7680,-0.4061,0.1748,-0.4293
-0.1609,-1.0472,9.8856,-0.4218,0.1561,-0.4511
-0.1205,-1.0038,9.7595,-0.4406,0.1651,-0.4448
0.0379,-1.1769,9.8806,-0.4012,0.1803,-0.4338
-0.0869,-1.2141,9.7721,-0.4112,0.1651,-0.4177
0.0816,-1.1372,9.7759,-0.4272,0.1457,-0.4304
0.0084,-1.0545,9.9484,-0.4396,0.1592,-0.4190
0.2475,-1.1771,9.9100,-0.4269,0.1474,-0.4221
0.3034,-1.3285,9.7652,-0.4433,0.1531,-0.4031
0.2791,-1.3314,9.6544,-0.4518,0.1392,-0.3850
0.3415,-1.3927,9.8783,-0.4610,0.1647,-0.3877
0.3983,-1.4473,9.9056,-0.4553,0.1326,-0.3760
0.5597,-1.3934,9.6213,-0.4516,0.1294,-0.3733
0.6267,-1.4644,9.8435,-0.4715,0.1300,-0.3581
0.6689,-1.4306,9.7969,-0.4692,0.1502,-0.3600
0.7539,-1.5808,9.8576,-0.4675,0.1379,-0.3601
0.5217,-1.6368,9.8094,-0.4510,0.1235,-0.3471
0.9645,-1.6094,9.8725,-0.4812,0.1234,-0.3307
0.8280,-1.6243,9.7282,-0.4669,0.1143,-0.3262
0.9402,-1.7892,9.7229,-0.4825,0.1110,-0.3238
0.8551,-1.5567,9.7579,-0.4849,0.1249,-0.2974
0.9686,-1.3348,9.7068,-0.4904,0.1099,-0.3151
0.8720,-1.4407,9.6866,-0.4787,0.1108,-0.2835
1.0495,-1.7133,9.8177,-0.5058,0.1008,-0.2916
1.2579,-1.6752,9.8414,-0.5141,0.0921,-0.2650
1.1142,-1.7328,10.0534,-0.4974,0.0966,-0.2863
1.2513,-1.8391,9.8153,-0.5002,0.0972,-0.2745
1.2484,-1.7684,9.7464,-0.4908,0.1019,-0.2402
1.2070,-1.8307,9.8981,-0.5067,0.1083,-0.2373
1.5355,-1.7620,9.6688,-0.5126,0.0838,-0.2278
1.6128,-1.6359,9.9023,-0.4887,0.0821,-0.2399
1.5114,-1.6574,9.8453,-0.4903,0.0841,-0.2351
1.3654,-1.8622,9.9159,-0.4963,0.0726,-0.2249
1.6524,-1.8502,10.0157,-0.5124,0.0665,-0.1971
1.7403,-1.9966,9.7554,-0.5030,0.0647,-0.1769
1.8026,-2.0526,9.8104,-0.4974,0.0705,-0.1987
1.6700,-2.1450,9.8928,-0.5115,0.0682,-0.1751
1.7508,-1.9062,9.6800,-0.5312,0.0433,-0.1527
1.8188,-1.6968,9.6532,-0.4939,0.0436,-0.1780
1.8019,-2.0164,9.9194,-0.5140,0.0396,-0.1521
1.7385,-1.8969,10.0954,-0.5133,0.0412,-0.1439
1.7618,-1.9791,9.8175,-0.5240,0.0389,-0.1353
1.8846,-2.1838,9.7350,-0.5269,0.0274,-0.1102
1.9919,-1.8341,9.9759,-0.5176,0.0396,-0.1329
1.9520,-1.9830,9.7705,-0.5194,0.0294,-0.1017
2.0804,-1.8758,9.8006,-0.5327,0.0309,-0.0751
1.8937,-1.8343,9.8925,-0.5237,0.0187,-0.0723
1.8470,-1.8799,9.8718,-0.5191,0.0193,-0.0738
2.2320,-1.9708,9.7329,-0.5354,0.0280,-0.0491
2.0395,-2.0397,9.7959,-0.5297,0.0085,-0.0300
2.1077,-1.8283,9.9523,-0.5255,0.0285,-0.0580
2.0179,-1.9477,9.7335,-0.5397,-0.0045,-0.0249
2.0485,-1.8772,9.8753,-0.5315,0.0135,-0.0070
2.0597,-1.9324,9.6300,-0.5266,0.0038,-0.0159
2.0127,-2.0244,9.8519,-0.5184,0.0041,0.0104
1.8994,-1.8808,9.6886,-0.5189,-0.0119,0.0321
1.9565,-2.0700,9.9791,-0.5371,-0.0091,0.0227
2.0152,-2.0742,9.8648,-0.5184,-0.0173,0.0500
1.9596,-1.9711,9.9219,-0.5204,-0.0322,0.0445
2.0127,-2.0426,9.8822,-0.5146,-0.0209,0.0610
1.9844,-1.9147,9.8059,-0.5216,-0.0312,0.0637
2.0345,-1.9794,9.6854,-0.5264,-0.0273,0.0605
1.7905,-2.1299,9.6317,-0.5058,-0.0435,0.0789
1.9215,-2.0838,9.8028,-0.5133,-0.0327,0.0920
1.9516,-1.7963,9.7423,-0.5221,-0.0414,0.1219
2.0429,-1.9007,9.8082,-0.5099,-0.0465,0.1098
1.7484,-2.0465,9.8516,-0.5033,-0.0525,0.1118
1.6396,-1.9907,9.8512,-0.5121,-0.0414,0.1432
1.8222,-1.8757,9.7122,-0.5124,-0.0479,0.1546
1.5947,-1.8928,9.7706,-0.5174,-0.0467,0.1429
1.4939,-1.8816,9.7988,-0.5209,-0.0617,0.1757
1.8531,-1.9763,9.8987,-0.5272,-0.0430,0.1589
1.7391,-1.9974,9.8354,-0.4948,-0.0750,0.1765
1.4898,-1.9071,9.8659,-0.5036,-0.0389,0.1835
1.6548,-1.8230,9.7739,-0.5194,-0.0766,0.1811
1.5060,-1.8957,9.9182,-0.5115,-0.0708,0.2081
1.5319,-1.9150,9.5318,-0.4990,-0.0706,0.2163
1.4259,-1.7748,9.8684,-0.5064,-0.0892,0.2233
1.4120,-1.6596,9.6919,-0.4960,-0.0872,0.2498
1.3590,-1.7861,9.8365,-0.4974,-0.1032,0.2481
1.4095,-1.9081,9.7270,-0.5062,-0.0793,0.2639
1.3909,-1.7182,9.9907,-0.4702,-0.1046,0.2588
1.1596,-1.7472,10.0019,-0.4892,-0.0887,0.2681
1.1895,-1.8480,9.8892,-0.4848,-0.1099,0.2710
1.2755,-1.5388,10.0055,-0.4795,-0.1100,0.2765
1.1889,-1.6548,9.7049,-0.4793,-0.1098,0.2885
0.8802,-1.4298,9.9186,-0.4851,-0.0969,0.3005
0.8591,-1.6408,9.9993,-0.4824,-0.1075,0.3044
0.8516,-1.6565,9.8464,-0.4625,-0.1056,0.3148
0.9151,-1.6226,9.8779,-0.4979,-0.1219,0.3068
1.0351,-1.5483,9.6013,-0.4674,-0.1057,0.3302
0.9588,-1.4394,9.6889,-0.4753,-0.1212,0.3297
0.7250,-1.4967,9.7614,-0.4543,-0.1034,0.3547
0.7077,-1.5123,9.8637,-0.4363,-0.1317,0.3407
0.5573,-1.4253,9.8036,-0.4472,-0.1435,0.3552
0.6010,-1.5208,9.6417,-0.4515,-0.1310,0.3607
0.4105,-1.3839,9.7959,-0.4437,-0.1445,0.3948
0.5122,-1.4028,9.9233,-0.4258,-0.1566,0.3780
0.4487,-1.4393,9.8991,-0.4449,-0.1283,0.3986
0.3489,-1.2798,9.7623,-0.4482,-0.1334,0.3922
0.2836,-1.1998,9.8052,-0.4327,-0.1590,0.4130
0.0179,-1.4116,9.8110,-0.4404,-0.1607,0.4168
0.0850,-1.1944,9.9791,-0.4322,-0.1610,0.4107
0.0858,-1.2681,9.9171,-0.4171,-0.1669,0.4154
-0.0917,-1.1328,9.9900,-0.4129,-0.1654,0.4204
-0.0028,-1.1220,9.9982,-0.4308,-0.1640,0.4417
0.1049,-0.9577,9.8165,-0.4262,-0.1702,0.4387
-0.4832,-1.1126,9.7795,-0.4116,-0.1740,0.4501
-0.2065,-1.0823,9.9302,-0.3929,-0.1758,0.4333
-0.4467,-1.0329,9.8117,-0.3947,-0.1831,0.4641
-0.5323,-0.9616,9.6444,-0.3989,-0.1833,0.4403
-0.3910,-1.0217,9.8698,-0.3926,-0.1710,0.4487
-0.4808,-0.8305,9.6835,-0.3942,-0.1832,0.4600
-0.5790,-0.8267,9.8590,-0.3943,-0.1848,0.4790
-0.7274,-0.8947,9.7833,-0.3709,-0.1792,0.4735
-0.5795,-0.8857,9.7403,-0.3855,-0.2031,0.4747
-0.6628,-0.7647,9.7175,-0.3724,-0.2079,0.4908
-0.8577,-0.7145,9.8112,-0.3697,-0.1976,0.4793
-0.6939,-0.4882,9.8391,-0.3595,-0.2070,0.4968
-0.9459,-0.6029,9.8503,-0.3536,-0.1960,0.4958
-0.9017,-0.6156,9.8470,-0.3630,-0.2153,0.5018
-1.0849,-0.5826,9.8159,-0.3521,-0.2108,0.4898
-1.1484,-0.5409,9.7102,-0.3472,-0.2197,0.5079
-1.1600,-0.6958,9.7323,-0.3507,-0.2268,0.5058
-1.1430,-0.6583,9.6523,-0.3374,-0.2436,0.5089
-1.3063,-0.5134,9.6983,-0.3220,-0.2178,0.5075
-1.3088,-0.3972,9.9764,-0.3204,-0.2153,0.5352
-1.3492,-0.5793,9.9220,-0.3198,-0.2412,0.5249
-1.4597,-0.3213,9.8889,-0.3183,-0.2438,0.5015
-1.5058,-0.1670,9.8513,-0.2993,-0.2429,0.5277
-1.7377,-0.1701,9.8287,-0.2856,-0.2429,0.5408
-1.6375,-0.2307,9.7823,-0.2958,-0.2496,0.5117
-1.6316,-0.0711,9.6602,-0.3022,-0.2619,0.5176
-1.4681,0.0265,9.9870,-0.2801,-0.2611,0.5078
-1.6217,-0.1371,9.9885,-0.2746,-0.2573,0.5456
-1.6764,-0.1415,9.5104,-0.2632,-0.2759,0.5162
-1.7522,0.0585,9.7807,-0.2559,-0.2747,0.4993
-1.6772,0.0963,9.9046,-0.2689,-0.2562,0.5328
-1.7531,-0.0900,9.9614,-0.2504,-0.2549,0.5080
-1.9446,0.1205,9.8405,-0.2311,-0.2798,0.5281
-1.6201,0.0865,9.8489,-0.2397,-0.2689,0.5275
-1.7439,0.0674,9.8975,-0.2461,-0.2682,0.5182
-1.9552,0.0286,9.9489,-0.2394,-0.2788,0.5336
-2.0503,0.0990,9.8181,-0.2129,-0.2662,0.5151
-1.9072,0.1711,9.7324,-0.2419,-0.2768,0.5374
-1.9771,0.1758,9.8837,-0.2150,-0.2775,0.5173
-2.1326,0.3452,9.6438,-0.2279,-0.2813,0.5379
-1.7005,0.5533,9.8458,-0.2094,-0.2897,0.5122
-2.1211,0.4062,9.9082,-0.1924,-0.2868,0.4926
-2.0157,0.4091,9.7404,-0.1875,-0.2873,0.5021
-2.0981,0.5912,9.8751,-0.1813,-0.3160,0.5129
-2.0528,0.7190,9.7993,-0.1787,-0.2892,0.5069
-2.0104,0.3801,9.8635,-0.1596,-0.2928,0.5006
-2.0338,0.5143,9.5776,-0.1694,-0.3089,0.5104
-1.9320,0.5927,9.7052,-0.1536,-0.2991,0.4931
-1.8985,0.8596,9.7326,-0.1589,-0.2960,0.5077
-2.0974,0.8424,9.6699,-0.1619,-0.3131,0.4889
-1.7911,0.9207,10.0077,-0.1367,-0.3095,0.4861
-1.9689,0.7455,9.8031,-0.1388,-0.3161,0.4657
-1.8283,0.8079,9.8653,-0.1197,-0.3254,0.4946
-1.9330,0.7565,9.7546,-0.1046,-0.3184,0.4838
-2.2259,0.7072,9.7219,-0.1170,-0.3338,0.4718
-1.9189,0.9609,9.7512,-0.1021,-0.3325,0.4717
-1.9270,1.0234,9.7880,-0.0996,-0.3384,0.4512
-1.9336,1.1668,9.6711,-0.0970,-0.3437,0.4455
-2.0326,0.9749,9.7576,-0.0898,-0.3424,0.4410
-2.1127,1.0555,9.7053,-0.0784,-0.3469,0.4425
-1.8162,1.0992,10.0460,-0.0673,-0.3442,0.4467
-1.8084,0.9829,9.7107,-0.0555,-0.3394,0.4410
-1.7066,1.0721,9.8431,-0.0734,-0.3443,0.4379
-1.6802,1.3000,9.9216,-0.0546,-0.3536,0.4181
-1.7522,1.2076,9.8046,-0.0628,-0.3439,0.4055
-1.7085,1.1146,9.7353,-0.0289,-0.3671,0.4072
-1.8083,1.2150,9.8397,-0.0439,-0.3537,0.4115
-1.8144,1.3540,9.8674,-0.0253,-0.3561,0.4168
-1.6252,1.3200,9.7591,-0.0060,-0.3740,0.3907
-1.3728,1.2531,9.8228,-0.0077,-0.3612,0.3754
-1.5242,1.4726,9.9397,0.0045,-0.3597,0.3746
-1.4501,1.3497,9.6108,-0.0103,-0.3749,0.3669
-1.3567,1.4694,9.9390,0.0126,-0.3514,0.3759
-1.3775,1.5244,9.8409,0.0056,-0.3769,0.3590
-1.4119,1.3346,9.7043,0.0172,-0.3708,0.3559
-1.0575,1.5171,9.6224,0.0176,-0.3699,0.3289
-1.0952,1.5172,9.7514,0.0303,-0.3851,0.3282
-1.1514,1.5566,9.9231,0.0233,-0.3839,0.3334
-1.0127,1.6735,9.9284,0.0445,-0.3842,0.3195
-1.0558,1.5364,9.7726,0.0577,-0.3873,0.3037
-1.0096,1.5441,9.8385,0.0606,-0.3898,0.3099
-0.9653,1.6182,9.7957,0.0611,-0.3856,0.2931
-0.9421,1.7463,9.8958,0.0673,-0.4051,0.2927
-0.7978,1.7311,9.9865,0.0773,-0.3951,0.2668
-0.7403,1.6937,9.5497,0.0629,-0.4040,0.2557
-0.8179,1.7238,9.8389,0.0882,-0.4198,0.2523
-0.5895,1.6406,9.8802,0.1044,-0.3988,0.2548
-0.5894,1.7374,9.9387,0.1067,-0.4020,0.2694
-0.4354,1.6634,9.9177,0.0932,-0.4245,0.2378
-0.3982,1.7617,9.6883,0.1140,-0.4172,0.2259
-0.3230,1.8873,9.8173,0.1169,-0.4105,0.2198
-0.2479,1.7780,9.8324,0.1345,-0.4124,0.2145
-0.2825,1.7161,9.7474,0.1258,-0.3976,0.1937
-0.0931,1.9073,9.9795,0.1230,-0.4138,0.2016
-0.3070,1.9572,9.8184,0.1466,-0.4352,0.1813
-0.2077,1.7826,9.7691,0.1399,-0.4176,0.1647
0.0129,1.9286,9.8477,0.1624,-0.4239,0.1729
0.0702,1.7667,9.7120,0.1556,-0.4164,0.1551
-0.0172,1.8242,9.7187,0.1819,-0.4166,0.1517
0.1286,1.8880,9.7134,0.1711,-0.4296,0.1380
0.2832,1.8947,9.9303,0.1726,-0.4426,0.1339
0.3981,1.9941,9.7075,0.1956,-0.4467,0.1082
0.2402,1.9023,9.7559,0.1938,-0.4400,0.1075
0.4252,1.8318,9.7107,0.1842,-0.4270,0.0981
0.4303,1.9051,9.8059,0.2003,-0.4346,0.0967
0.5309,1.9874,9.7849,0.2057,-0.4566,0.0882
0.6713,2.0718,9.7889,0.2282,-0.4393,0.0798
0.8132,2.1131,9.9231,0.2323,-0.4259,0.0603
0.5740,2.0006,9.8023,0.2219,-0.4445,0.0461
0.6128,2.0397,9.7726,0.2547,-0.4533,0.0228
0.8527,2.1081,9.8471,0.2481,-0.4466,0.0454
1.0122,1.9585,9.9239,0.2578,-0.4362,0.0251
0.9384,2.0539,9.5787,0.2509,-0.4489,0.0127
1.1496,2.0273,9.7722,0.2624,-0.4393,0.0099
1.1128,2.0840,9.6194,0.2669,-0.4539,-0.0162
1.3125,2.0084,9.8759,0.2757,-0.4467,-0.0068
1.1127,1.9630,9.7773,0.2661,-0.4755,-0.0339
1.1732,1.9731,9.7289,0.2781,-0.4407,-0.0412
1.3404,1.9995,9.8502,0.2940,-0.4577,-0.0481
1.1833,1.9362,9.8470,0.3016,-0.4493,-0.0564
1.3678,1.9359,9.8478,0.2834,-0.4677,-0.0492
1.4123,2.0098,9.9101,0.3137,-0.4649,-0.0499
1.3687,2.1478,9.8064,0.2979,-0.4679,-0.0822
1.4893,2.0664,9.8317,0.3261,-0.4777,-0.0887
1.4895,1.8871,9.8913,0.3019,-0.4578,-0.1174
1.5549,1.9430,9.8073,0.3327,-0.4679,-0.1267
1.5578,1.7723,9.8868,0.3342,-0.4579,-0.1278
1.5339,1.8678,9.7938,0.3262,-0.4727,-0.1332
1.6544,1.8252,9.8510,0.3461,-0.4730,-0.1471
